openalexid,value,key
W4391851317,['AI'],Other
W4401074430,"['Potential Evapotranspiration', 'Aridity Index', 'Earth System Models', 'Climate models']",Other
W4400969566,['deep-learning'],New Generation of AI
W4400523449,"['regression analysis', 'neural network prediction models']",Classic AI & Neural Network Architectures
W4399305859,"['Residual network', 'U-Net']",Classic AI & Neural Network Architectures
W4403995546,"['Task Embeddings', 'Conditional Mini-Batch']",Classic AI & Neural Network Architectures
W4400874323,"['Random Coefficient Model', 'Gaussian Mixture Model', 'BP neural network model']",Classic Machine Learning
W4399657315,['foundation models'],New Generation of AI
W4400094214,"['Automated sensors', 'AI-driven data analysis tools']",Other
W4402500985,"['Reconfigurable intelligent surfaces (RISs)', 'cell-free multiple-input-multiple-output', 'joint communications and sensing']",New Generation of AI
W4400102129,['deep learning models'],New Generation of AI
W4405649435,"['Machine Learning techniques', 'ensemble modelling']",Classic Machine Learning
W4403795550,"['Deep Learning', 'ZCA Whitening']",Classic AI & Neural Network Architectures
W4403993071,['artificial intelligence'],New Generation of AI
W4404438792,['artificial intelligence'],Classic AI & Neural Network Architectures
W4391973238,['machine learning regression models'],Classic Machine Learning
W4396646375,"['Advanced technologies', 'AI', 'Adapting cultivation practices']",Other
W4392538305,['neural network'],Classic AI & Neural Network Architectures
W4402976746,[],Other
W4403667279,['Foundation Models'],New Generation of AI
W4403785862,"['CNNs', 'Transformers']",Classic AI & Neural Network Architectures
W4401928761,"['machine learning', 'multivariate analysis']",Classic Machine Learning
W4404079654,"['Data integration', 'Metrics for research culture', 'Research environment']",Other
W4404068833,"['advanced machine learning models', 'ensemble machine learning models']",Classic Machine Learning
W4404079566,['Yolov3'],Classic AI & Neural Network Architectures
W4391967130,['Vision Transformer (ViT)'],New Generation of AI
W4393408199,['artificial intelligence (AI)'],New Generation of AI
W4398146595,['artificial intelligence'],Other
W4400687056,['machine learning'],Classic Machine Learning
W4405036097,['Random Forests'],Classic Machine Learning
W4399535630,['Vision Transformers'],New Generation of AI
W4404475409,"['YOWOv2', 'DeepSORT']",Classic AI & Neural Network Architectures
W4405737905,"['Back Propagation Neural Network (BPNN)', 'Extreme Learning Machine (ELM)']",Classic AI & Neural Network Architectures
W4391229232,['Diffusion models'],New Generation of AI
W4405468246,"['FCNN', 'ResNet', 'MI-FCNN', 'MI-ResNet']",Classic AI & Neural Network Architectures
W4402459890,"['pre-trained multimodal neural network', 'location entity recognition model']",New Generation of AI
W4396601038,['Large Language Models'],New Generation of AI
W4400196094,['Maxent'],Classic Machine Learning
W4392142249,"['Random Forests', 'Gradient Descent']",Classic Machine Learning
W4399315787,"['MobileNet', 'CNN']",Classic AI & Neural Network Architectures
W4404787669,['machine learning'],Classic Machine Learning
W4405460070,['artificial intelligence'],Other
W4404828510,['machine learning'],Classic Machine Learning
W4405957283,['neural networks'],Classic AI & Neural Network Architectures
W4405766334,['Paraformer'],New Generation of AI
W4402993885,['NARX'],Other
W4396609437,['machine learning'],Classic Machine Learning
W4400104466,['AI-NWP'],New Generation of AI
W4394807491,['machine learning models'],Classic Machine Learning
W4401586958,"['deep learning', 'transfer learning']",Classic AI & Neural Network Architectures
W4401765787,['geons'],New Generation of AI
W4396575312,['topic modelling'],Classic Machine Learning
W4394918548,"['EEMD-NARX', 'NARX']",Classic AI & Neural Network Architectures
W4405114089,['counterfactual artificial intelligence'],New Generation of AI
W4391841425,[],New Generation of AI
W4401517550,"['Multinomial logistic regression', 'Custom classifiers']",Classic Machine Learning
W4404342103,"['advection-diffusion', 'empirical estimation', 'Physics-Informed UncertaintyAware']",Other
W4405088586,['maximum likelihood classifier'],Classic Machine Learning
W4405804020,"['modern machine learning methods', 'machine learning techniques']",Classic Machine Learning
W4404166740,['BirdNET'],Classic AI & Neural Network Architectures
W4403841300,"['Continuous–Discrete Wavelet Transforms', 'multiple linear stepwise regression', 'backpropagation neural network models']",Classic AI & Neural Network Architectures
W4405031935,['GPT-4'],New Generation of AI
W4392953150,['microbiological model'],Other
W4391074308,"['Support Vector Machines (SVMs)', 'Random Forests', 'Naive Bayes', 'k-Nearest Neighbors (kNN)', 'k-means Clustering', 'Hierarchical Clustering', 'Principal Component Analysis (PCA)', 't-SNE', 'DBSCAN']",Classic Machine Learning
W4393036978,['MLPs'],Classic AI & Neural Network Architectures
W4403890134,"['machine learning', 'SHAPs', 'linear regression', 'k-means Clustering']",Classic Machine Learning
W4394852542,['physics-informed machine learning'],Classic Machine Learning
W4403012251,N/A,N/A
W4400461357,"['TCNs', 'matrix factorization']",Classic AI & Neural Network Architectures
W4403012028,['Diffusion models'],New Generation of AI
W4392596526,['machine learning'],Classic Machine Learning
W4394688048,['machine learning models'],Classic Machine Learning
W4390766026,"['machine learning', 'multi-model ensemble']",Classic Machine Learning
W4405626528,['Generative Artificial Intelligence'],New Generation of AI
W4398975669,['machine deep learning'],New Generation of AI
W4400092342,"['ecological traits', 'phylogenetic signal']",Other
W4404452031,['AI-based image recognition'],Classic AI & Neural Network Architectures
W4404360598,"['Statistical Methods', 'Machine Learning']",Classic Machine Learning
W4403798800,['machine learning models'],Classic Machine Learning
W4402702509,"['deep neural networks', 'model architecture']",Classic AI & Neural Network Architectures
W4393112244,"['Random Forest', 'Pearson', 'point-biserial correlation']",Classic Machine Learning
W4401769349,['AI model'],Other
W4403838709,['machine learning'],Classic Machine Learning
W4404153081,N/A,N/A
W4405808957,['Machine learning semantic segmentation techniques'],Classic AI & Neural Network Architectures
W4401813675,['Random Forest'],Classic Machine Learning
W4391567085,"['self-attention encoder', 'multi-source satellite images', 'uncertainty estimates', 'MAE']",New Generation of AI
W4395011246,"['PyTorch', 'Object Detection Model', 'Convolutional Neural Networks']",Classic AI & Neural Network Architectures
W4402869754,"['Multidirectional Filter', 'average pooling', 'multiscale self-attention']",Classic AI & Neural Network Architectures
W4391774722,['Gradient Boosting Decision Tree'],Classic Machine Learning
W4399991985,['Diffusion models'],New Generation of AI
W4403438582,"['machine learning models', 'spatiotemporal variability', 'soil moisture prediction']",Classic Machine Learning
W4405445895,"['machine learning models', 'feature engineering', 'hyperparameter tuning']",Classic Machine Learning
W4400386582,['AI'],Other
W4396987695,"['machine learning', 'supervised learning', 'feature engineering', 'annual composites', 'satellite imagery', 'probability map', 'accuracy']",Classic Machine Learning
W4403394123,[],Other
W4405998827,['deep learning'],Classic AI & Neural Network Architectures
W4395443244,['PRFXception'],Classic AI & Neural Network Architectures
W4401947210,"['Decision Tree (DT)', 'Random Forest (RF)', 'XGBoost (XGB)', 'k-nearest neighbor (kNN)']",Classic Machine Learning
W4401512350,"['YOLOv8', 'GS-HGNetV2', 'RepViTBlock', 'RCD']",Classic AI & Neural Network Architectures
W4404313748,"['Fourier Neural Operator', 'Principal Component Analysis']",New Generation of AI
W4404245334,"['machine learning models', 'autoconversion rates']",Classic Machine Learning
W4395011141,"['Deep learning-based models', 'CNNs', 'RNNs']",Classic AI & Neural Network Architectures
W4392450198,"['mean teacher model', 'neural networks']",Classic AI & Neural Network Architectures
W4405730036,"['ensemble machine learning', 'machine learning']",Classic Machine Learning
W4402138894,['Support Vector Machines (SVM)'],Classic Machine Learning
W4396769591,['machine learning techniques'],Classic Machine Learning
W4403109294,['machine learning'],Classic Machine Learning
W4405694068,['XGBoost'],Classic Machine Learning
W4396585374,"['Stacked Autoencoder', 'Deep Neural Network']",Classic AI & Neural Network Architectures
W4400116242,['Parallelization scheme'],New Generation of AI
W4399908022,"['machine learning', 'statistical methods']",Classic Machine Learning
W4392252600,N/A,N/A
W4404202460,['machine learning (ML)'],Classic Machine Learning
W4404762386,"['Rule-Based Method', 'XGBoost']",Classic Machine Learning
W4392735541,"['Recurrent Neural Networks (RNNs)', 'Long Short-Term Memory (LSTMs)']",Classic AI & Neural Network Architectures
W4404378431,[],Other
W4390647709,"['Machine Learning (ML)-based parameterizations', 'feature selection and transformations']",Classic Machine Learning
W4403953894,"['Bayesian linear regression', 'Pearson correlation coefficients']",Classic Machine Learning
W4405001450,"['encoder-decoder', 'residual module', 'up-sampling']",Classic AI & Neural Network Architectures
W4400886246,"['supervised learning', 'models']",Classic Machine Learning
W4393052888,N/A,N/A
W4394985094,['ISO Clustering'],Classic Machine Learning
W4405765854,['machine learning'],Classic Machine Learning
W4406000288,['attention models'],Classic Machine Learning
W4399986891,"['ML models', 'Attention U-Net']",Classic Machine Learning
W4404695630,['Neural Network'],Classic AI & Neural Network Architectures
W4403383220,['Segment Anything Model'],New Generation of AI
W4403866006,['machine learning'],Classic Machine Learning
W4403172347,"['microbiome geographic population structure', 'machine learning']",Classic Machine Learning
W4405415999,['machine learning'],Classic Machine Learning
W4391996835,"['predictive modeling', 'artificial intelligence']",Classic AI & Neural Network Architectures
W4391823052,"['Logistic Regression', 'Random Forest']",Classic Machine Learning
W4398187408,['Neural Network'],Classic AI & Neural Network Architectures
W4391023926,['Recurrent Neural Network (RNN)'],Classic Deep Learning
W4392619995,['machine-learning-based'],Classic Machine Learning
W4404322948,['MIRF'],Classic Machine Learning
W4402204157,['machine learning models'],Other
W4405469660,"['BarcodeMamba', 'SSMs']",New Generation of AI
W4400871131,"['machine learning tools', 'literature review']",Other
W4396611915,"['neural operator', 'regional oceans']",Classic AI & Neural Network Architectures
W4390723630,['Deep Neural Network'],Classic Deep Learning
W4402195273,"['K-Means', 'DBSCAN']",Classic Machine Learning
W4398766529,['machine learning'],Classic Machine Learning
W4404889755,['AI integration'],New Generation of AI
W4394777946,['Diffusion models'],New Generation of AI
W4400010510,"['Modified Newton-Raphson', 'penalized log likelihood']",Classic Machine Learning
W4392603426,"['Random Forest', 'XGBoost', 'Multilayer Perceptron']",Classic Machine Learning
W4399660950,['AI'],Classic AI & Neural Network Architectures
W4391307426,['Generalized Linear Models (GLMs)'],Classic Machine Learning
W4390649582,['cutting edge machine learning models'],New Generation of AI
W4403747498,"['EAConv', 'EADown']",Classic AI & Neural Network Architectures
W4404696091,"['AI-based', 'Automated data processing', 'Data integration', 'Statistical analyses', 'Visualization', 'Predictions']",New Generation of AI
W4404346678,"['Gradient Boosting Models', 'LSTM', 'GRU', 'XGBoost', 'LightGBM', 'CatBoost', 'NEWS2+']",Classic Machine Learning
W4404825534,"['Extreme Gradient Boosting', 'K-Nearest Neighbour']",Classic Machine Learning
W4405028166,"['numerical model-based', 'machine-learning']",Classic Machine Learning
W4404083041,['Random Forest Regression Trees'],Classic Machine Learning
W4402144614,"['Random Forest', 'Support Vector Machine (SVM)', 'Classification and Regression Tree']",Classic Machine Learning
W4404021740,"['Extreme Gradient Boosting', 'Random Forest', 'Support Vector Machine (SVM)', 'k-Nearest Neighbors (kNN)']",Classic Machine Learning
W4400584827,['Random Forest'],Classic Machine Learning
W4402927526,"['deep learning', 'wildfire recognition systems']",Classic AI & Neural Network Architectures
W4392124445,['Random Forests'],Classic Machine Learning
W4405019484,['machine learning'],Classic Machine Learning
W4402243654,"['Binary classifier', 'Regressor']",Classic Machine Learning
W4400701608,['machine learning'],Classic Machine Learning
W4392018386,[],Classic Machine Learning
W4405471193,"['XGBoost', 'SHAP']",Classic Machine Learning
W4393225125,"['Generalized Additive Models', 'Random Forests', 'Gradient Boosting Machines']",Classic Machine Learning
W4404986206,"['YOLOv10', 'Neural Networks']",Classic AI & Neural Network Architectures
W4405566272,['Random Forest'],Other
W4403311537,"['YOLOv5l', 'YOLOv8l', 'VGG16']",Classic AI & Neural Network Architectures
W4404990200,['MobileSAM'],New Generation of AI
W4393091530,"['Autoencoder neural networks', 'K-means cluster analysis']",Classic AI & Neural Network Architectures
W4400935794,"['GraphCast', 'Cumulative precipitation', 'ECMWF', 'Root Mean Square Error (RMSE)', 'Mean Error (ME)']",Other
W4401478426,"['Supervised machine learning models', 'ASVs', 'Taxa']",Classic Machine Learning
W4401070265,['machine learning'],Classic Machine Learning
W4399332828,['YOLO'],Classic AI & Neural Network Architectures
W4399157372,['Deep Neural Networks'],Classic AI & Neural Network Architectures
W4404005693,['Informer'],Classic AI & Neural Network Architectures
W4402211441,"['time series model', 'statistical methods']",Classic Machine Learning
W4403847803,['machine learning'],Classic Machine Learning
W4391505482,['deep learning'],New Generation of AI
W4404480976,['Vision-Transformer'],Classic AI & Neural Network Architectures
W4401025039,"['self-supervised deep learning', 'salient distribution patterns', 'hidden dependencies between weather variables']",New Generation of AI
W4396585060,['Transformers'],Classic AI & Neural Network Architectures
W4403619555,['machine learning'],Classic Machine Learning
W4400887177,['Convolutional Recurrent Neural Networks (CRNN)'],Classic Deep Learning
W4403155059,['machine learning'],Classic Machine Learning
W4402465414,['machine learning'],Classic Machine Learning
W4402166813,"['statistical methods', 'ensemble modelling', 'Random Forests']",Classic Machine Learning
W4399879996,"['SPI', 'RDI', 'PNI', 'AI']",Classic Machine Learning
W4405765369,"['transformer-based models', 'Wave2Vec 2.0']",New Generation of AI
W4405332729,['AI'],New Generation of AI
W4404245512,['Bionomia'],Other
W4401812398,"['VGG16', 'bidirectional LSTM', 'SE attention module']",Classic AI & Neural Network Architectures
W4404044823,"['PSPNet', 'Deeplab v3+', 'U-Net', 'HRNet', 'Semantic Segmentation']",New Generation of AI
W4404400550,[],Classic AI & Neural Network Architectures
W4405230601,"['OpenStreetMap', 'Lynker Spatial data portal', 'build environment', 'spatial completeness', 'address databases', 'extensible schema', 'hazard modeling', 'social vulnerability assessment', 'flood', 'fires']",Other
W4394850704,['Multilayer Perceptron'],Classic Machine Learning
W4399097860,['Wavelet Fusion Network'],Classic AI & Neural Network Architectures
W4401968470,['Foundation Models'],New Generation of AI
W4402845929,"['Naïve Bayes', 'Nearest Neighbor']",Classic Machine Learning
W4404038943,"['YOLOv5', 'YOLOv8', 'Faster-RCNN', 'RetinaNet', 'YOLO-NAS']",Classic AI & Neural Network Architectures
W4404739125,"['Logistic regression', 'Linear regression', 'Machine learning']",Classic Machine Learning
W4401892245,"['AI-powered tools', 'autocomplete suggestions', 'scientific name']",Classic Machine Learning
W4393492171,"['machine learning (ML)', 'Linear regression', 'Random Forests']",Classic Machine Learning
W4400193799,['LSTM'],Classic AI & Neural Network Architectures
W4405196172,['AI'],Classic AI & Neural Network Architectures
W4392781002,['deep learning models'],Classic AI & Neural Network Architectures
W4392597447,['FDO'],Other
W4399577705,[],Other
W4404557635,['deep learning'],New Generation of AI
W4401236751,['AI'],Other
W4402677041,['neural network'],New Generation of AI
W4400420185,"['Singular Value Decomposition (SVD)', 'Principal Component Analysis (PCA)']",Classic Machine Learning
W4403232435,"['Transformers', 'deep learning tools']",Classic AI & Neural Network Architectures
W4405852439,['machine learning'],Classic Machine Learning
W4402491010,N/A,N/A
W4401267213,['machine learning'],Classic Machine Learning
W4405030279,['supervised machine learning'],Classic Machine Learning
W4405962918,['machine learning'],Classic Machine Learning
W4391533006,['machine-learning'],Classic Machine Learning
W4404105997,['Deep Learning'],Classic AI & Neural Network Architectures
W4390932818,['machine learning'],Classic Machine Learning
W4401388976,"['drones', 'remote sensing', 'AI', 'big data analysis']",Other
W4399417508,"['MIDAS', 'SGFF']",New Generation of AI
W4404251823,"['DNA Barcoding', 'Git Branching', 'Git Merging', 'Git Patch Management', 'versioning']",Classic Machine Learning
W4399379332,['PCA'],Classic Machine Learning
W4404078019,[],Other
W4404306116,['Deep Learning'],Classic AI & Neural Network Architectures
W4403505870,"['CNNs', 'Transformers']",Classic Deep Learning
W4392933249,[],New Generation of AI
W4401307003,['weakly supervised learning'],Classic Machine Learning
W4402553618,"['supervised contrastive learning', 'ProtoCLR']",Classic AI & Neural Network Architectures
W4390973494,['machine learning methods'],Classic Machine Learning
W4400972817,"['supers resolving', 'physically informed']",New Generation of AI
W4405627655,['Conditional Diffusion'],New Generation of AI
W4399177661,"['Statistical Methods', 'Evaluation Metrics']",Other
W4405566262,"['Theil–Sen slope estimation', 'Mann–Kendall significance analysis', 'XGBoost', 'SHAP']",Classic Machine Learning
W4404768825,['Artificial Intelligence'],Classic AI & Neural Network Architectures
W4396605688,['agricultural robotics'],Classic AI & Neural Network Architectures
W4402749257,['stZFI'],Classic Machine Learning
W4401450202,['machine-learning-derived products'],Classic Machine Learning
W4404310619,['machine learning'],Classic Machine Learning
W4403404583,['NARX neural network'],Classic Deep Learning
W4401770307,['XGBoost'],Classic Machine Learning
W4403140269,"['Manhattan distances', 'Support Vector Machines (SVMs)', 'Principal Component Analysis (PCA)']",Classic Machine Learning
W4395070733,N/A,N/A
W4405893133,"['Long Short-Term Memory networks', 'Multi-Layer Perceptron networks', 'Cross-attention']",Classic AI & Neural Network Architectures
W4399522892,['deep learning'],New Generation of AI
W4396981486,['deep learning'],Classic AI & Neural Network Architectures
W4404573574,['UNet++'],Classic AI & Neural Network Architectures
W4405566242,['machine learning'],Other
W4401804304,"['Support-vector-machine', 'SVMs']",Classic Machine Learning
W4399680872,"['AI-based data analysis', 'field images']",Classic AI & Neural Network Architectures
W4396890445,"['SHAP', 'Machine Learning Models']",Classic Machine Learning
W4398179516,['machine learning'],Classic Machine Learning
W4401825850,['AI-driven decision support systems'],Classic Machine Learning
W4404633276,"['Multi-model ensembles', 'Bayesian Model Averaging', 'Random Forest']",Classic Machine Learning
W4390502181,"['Uncertainty Quantification', 'Ensemble Machine Learning']",Other
W4400008843,"['UNTERM', 'Sketch Engine']",Other
W4405808684,"['Discrete Wavelet Transform', 'Continuous Wavelet Transform', 'Linear Regression', 'Random Forest Regression']",Classic Machine Learning
W4401981452,['AI generation classes available here'],Classic Machine Learning
W4404069872,['K-means clustering'],Classic AI & Neural Network Architectures
W4400169501,['Latent Dirichlet Allocation'],Classic Machine Learning
W4393193203,"['state-of-the-art', 'machine learning models', 'remote sensing data', 'dynamic global vegetation model estimates']",New Generation of AI
W4403991226,"['AI-powered', 'predictive analytics']",Classic Machine Learning
W4399685211,['drone tree planting initiatives'],Other
W4399913026,"['Latent Diffusion Model', 'Generative Adversarial Network']",New Generation of AI
W4404160203,"['deep learning models', 'remote sensing data']",Classic AI & Neural Network Architectures
W4398759422,[],Classic AI & Neural Network Architectures
W4399886081,['LSTM'],Classic AI & Neural Network Architectures
W4405094416,N/A,N/A
W4401893600,['machine learning models'],Classic Machine Learning
W4405537424,['Latent Dirichlet Allocation (LDA)'],New Generation of AI
W4401561195,"['Machine Learning Classification Analysis', 'Multistep machine learning classification analysis']",Classic Machine Learning
W4403432206,[],Other
W4394695865,['metric learning'],Classic Machine Learning
W4404190558,['deep learning models'],New Generation of AI
W4403443464,"['self-supervised learning', 'pre-trained model']",New Generation of AI
W4404062220,['machine learning'],Classic Machine Learning
W4405307076,"['Random Forest (RF)', 'Support Vector Regression (SVR)', 'Multilayer Perceptron Regression (MLPR)']",Classic Machine Learning
W4396795804,['deep learning'],New Generation of AI
W4403929259,['U-Net'],Classic AI & Neural Network Architectures
W4404174680,['AI'],Other
W4403043430,"['YOLO', 'object detection']",Classic AI & Neural Network Architectures
W4399436637,"['VMD', 'SSA']",Classic Machine Learning
W4404147728,['machine learning'],Classic Machine Learning
W4402134278,"['Support Vector Machines (SVMs)', 'Decision Trees', 'Random Forests', 'Naive Bayes', 'k-Nearest Neighbors (kNN)']",Classic Machine Learning
W4401960514,['predictive analytics'],Classic Machine Learning
W4399444520,['machine learning models'],Classic Machine Learning
W4401428816,"['machine-learning classification', 'machine-learning regression']",Classic Machine Learning
W4404766004,['machine learning'],Classic Machine Learning
W4394710949,['Grey neural network'],Classic AI & Neural Network Architectures
W4399040121,"['semi-supervised machine learning', 'Support Vector Machines (SVMs)', 'Random Forests', 'Principal Component Analysis (PCA)']",Classic Machine Learning
W4399322025,['MaxEnt distribution modeling'],Classic Machine Learning
W4403672109,N/A,N/A
W4401550233,"['Generative AI', 'Foundation Models', 'Modern Architectures', 'Applications']",Other
W4405732514,"['neural ordinary differential equations', 'JAX', 'Diffrax', 'automatic differentiation']",Other
W4400267108,"['machine learning', 'U-Net architecture']",Classic Machine Learning
W4392766475,N/A,N/A
W4392126175,['Generative Adversarial Networks (GANs)'],New Generation of AI
W4404490237,"['Random Forests', 'Support Vector Machines (SVMs)']",Classic Machine Learning
W4399870464,['machine learning classifier'],Classic Machine Learning
W4403377724,"['Random Forest', 'Gradient Boosting']",Classic Machine Learning
W4392598725,['machine learning'],Classic Machine Learning
W4400809440,"['Support Vector Machine (SVM)', 'Extreme Gradient Boosting Tree (XGBoost)']",Classic Machine Learning
W4403589948,"['machine learning classifier', 'features extracted from images']",Classic Machine Learning
W4405810065,"['MaxEnt', 'Landsat imagery', 'bioclimatic variables', 'human influences']",Classic Machine Learning
W4399178759,['Random Forest'],Classic Machine Learning
W4401995291,['Transformers'],New Generation of AI
W4399019228,['machine learning models'],Classic Machine Learning
W4404483897,"['Generalized Linear Models', 'caret library']",Classic Machine Learning
W4403802417,"['NDVI', 'GIS', 'CA']",Other
W4405186258,['ResNet50'],Classic AI & Neural Network Architectures
W4401007337,"['Ridge Regression Model', 'Gaussian Process Regression']",Classic Machine Learning
W4404338082,"['Random Forest', 'Shapley Values']",Classic Machine Learning
W4403777472,['machine learning'],Classic Machine Learning
W4403581751,['Generalized Linear Models (GLM)'],Classic Machine Learning
W4404860683,"['Deep Learning', 'Landsat imagery', 'Convolutional Neural Networks']",Classic AI & Neural Network Architectures
W4394997503,['deep learning'],New Generation of AI
W4404390455,"['retrieval', 'multimodal models', 'expert-level queries', 'iNaturalist 2024 (iNat24)']",Other
W4405081596,"['Random Forests', 'Support Vector Machines (SVMs)', 'k-Nearest Neighbors (kNN)', 'Principal Component Analysis (PCA)', 't-SNE']",Classic Machine Learning
W4396778792,['Deep learning (DL)'],New Generation of AI
W4404243457,"['Random Forest', 'Extreme Gradient Boosting', 'Support Vector Regressor']",Classic Machine Learning
W4405282442,['Neural Network Model'],New Generation of AI
W4405110020,"['Point cloud processing', 'Voxel-based analysis', 'Structure from Motion (SfM)', ' smartphone-based 3D scanning']",Other
W4399264193,N/A,N/A
W4393098822,['machine learning'],Classic Machine Learning
W4404217204,N/A,N/A
W4391980570,N/A,N/A
W4392760293,"['NARX', 'LSTM', 'GRU']",Classic Machine Learning
W4405301648,[],Other
W4399906373,"['Support Vector Machines (SVMs)', 'Decision Trees', 'Random Forests', 'Naive Bayes', 'k-Nearest Neighbors (kNN)', 'Principal Component Analysis (PCA)', 't-SNE']",Classic Machine Learning
W4402843170,"['MaxEnt', 'AUC']",Classic Machine Learning
W4400241906,"['GIS analysis', 'big data analysis', 'neural networks']",Other
W4403462017,[],Other
W4392745453,['Renewable energy technologies'],New Generation of AI
W4403848944,['Vision Transformers'],New Generation of AI
W4403231255,[],Other
W4404766435,['Generative AI'],New Generation of AI
W4403213953,"['Support Vector Machines (SVMs)', 'Random Forests', 'k-Nearest Neighbors (kNN)', 'k-means Clustering', 'Hierarchical Clustering']",Classic Machine Learning
W4403215202,"['Materials science', 'Acting materials', 'Advanced functional materials', 'Nanomaterials synthesis', 'Sustainable and green chemistry', 'Catalysis', 'Optical properties', 'Electrical conductivity', 'Thermoelectric properties', 'Coordination chemistry', 'Coordination polyaniline', 'Graphene oxide', 'Advanced functional materials', 'Nanoporous materials', 'Heterogeneous catalysis']",Other
W4404552838,['Machine learning'],Classic Machine Learning
W4402205611,['No relevant technical terms from AI generation classes found'],Other
W4399556675,"['Random Forests', 'Principal Component Analysis (PCA)', 'k-Nearest Neighbors (kNN)']",Classic Machine Learning
W4399683296,N/A,N/A
W4400929470,"['ocean education', 'hand-on activities', 'Curriculum integration', 'middle school teachers', 'ASLO Education and Engagement Committee', 'COSEE New England', 'COSEE OCEAN', 'New England Ocean Science Collaborative', 'Boston Science Partnership', 'NSF GK-12 program', 'outreach', 'ocean literacy principles', 'cross-disciplinary collaboration', 'middle school curriculum', 'science communication']",Other
W4403748040,"['GPT-4', 'Codex']",New Generation of AI
W4392373591,[],Other
W4403298946,N/A,N/A
W4391610646,['AI'],Other
W4405454842,N/A,N/A
W4392457602,"['Random Forests', 'Support Vector Machines (SVMs)', 'Gradient Descent']",Classic Machine Learning
W4401577015,"['Secondary Organic Aerosol', 'Brown Carbon', 'Nitrate Radical Oxidation', 'Pyrroles', 'Methylpyrroles']",Other
W4392696950,"['Academic Writing', 'Conceptualization', 'Investigation', 'Writing - Original Draft', 'Writing - Review & Editing']",Other
W3107270199,['Deep learning'],Classic AI & Neural Network Architectures
W3110052155,['Machine learning'],Classic Machine Learning
W3037469196,"['Influence functions', 'neural network models', 'network architecture', 'depth and width of networks', 'model parameterization', 'regularization techniques']",Classic AI & Neural Network Architectures
W3114965680,['LSTM'],Classic AI & Neural Network Architectures
W3045954106,"['XGBoost', 'Nomogram']",Classic Machine Learning
W3104235236,"['Satellite imagery', 'Landsat 8', 'Driver annotations']",Other
W3116795868,['CNNs'],Classic AI & Neural Network Architectures
W3117541273,"['Lasso', 'Principal Component Analysis (PCA)']",Classic Machine Learning
W3092108462,['Artificial Neural Network'],New Generation of AI
W3041444978,['neural networks'],Classic AI & Neural Network Architectures
W3106780925,['Deep Convolutional Neural Networks'],Classic AI & Neural Network Architectures
W3024159468,"['Eight machine learning models', 'Sentiment prediction', 'Optimization methods']",Classic Machine Learning
W3102226498,"['Knowledge Distillation', 'Wide Neural Networks', 'Neural Tangent Kernel', 'Transfer Risk Bound', 'Data Inefficiency']",Classic AI & Neural Network Architectures
W3214171987,[],New Generation of AI
W2982539576,['machine learning'],Classic Machine Learning
W3089392314,"['K-nearest Neighbors', 'Logistic Regression', 'Random Forest', 'Naive Bayes', 'Neural Networks']",Classic Machine Learning
W3041617862,['Migratable AI System'],Other
W3081212768,['CNNs'],Classic AI & Neural Network Architectures
W3095637457,"['Random Forests', 'Self-organizing Map', 'Artificial Neural Network']",Classic AI & Neural Network Architectures
W3091734190,"['CNNs', 'attention-based strategy']",Classic AI & Neural Network Architectures
W3081959261,['machine learning'],Classic Machine Learning
W3119784527,['Deep Learning Technology'],New Generation of AI
W3027329700,"['site-based science', 'big data']",Other
W3018335442,"['U-Net', 'Fully Connected Neural Network']",Classic AI & Neural Network Architectures
W3095770664,"['LSTM', 'RNN']",Classic AI & Neural Network Architectures
W3080809230,['Long Short-Term Memory (LSTMs)'],Classic AI & Neural Network Architectures
W3091852758,['Non-Linear Regressive Network'],Classic AI & Neural Network Architectures
W3090950362,"['Deep Learning', 'BERT']",Classic AI & Neural Network Architectures
W3110827798,['deep convolutional neural network (CNN)'],Classic AI & Neural Network Architectures
W3037037622,['ANN'],Classic AI & Neural Network Architectures
W3080272626,['neural network'],Classic AI & Neural Network Architectures
W3091532666,['AI'],Classic Machine Learning
W3129161284,['machine learning'],Classic Machine Learning
W3091231767,"['Deep Convolutional Neural Networks', 'Multi-path multi-CNN']",Classic AI & Neural Network Architectures
W3197072810,['CNNs'],Classic Deep Learning
W3024895859,"['Principal Component Analysis (PCA)', 'Artificial Neural Network model (ANN)']",Classic AI & Neural Network Architectures
W3027830023,['blockchain-based artificial intelligence'],Other
W3216968432,"['international trade', 'production and sales cooperation', 'global production chains', 'digital trading platforms', 'standardization for intellectual property']",Other
W3063959334,"['ARIMA', 'GBoosting', 'XGBoosting', 'LightGBM']",Classic Machine Learning
W3131952330,"['Wavelet Image Scattering', 'Local Binary Pattern']",Classic Machine Learning
W3164966606,N/A,N/A
W3115669077,"['Multi-layer perceptron', 'Long short term memory recurrent neural network']",Classic AI & Neural Network Architectures
W3084030929,"['Convolutional Neural Networks (CNNs)', 'Residual Neural Networks (ResNets)']",Classic AI & Neural Network Architectures
W3015634610,['AI'],Other
W3096627906,['machine learning'],Classic Machine Learning
W3114041075,['machine learning'],Classic Machine Learning
W3016503290,"['neural networks', 'feed-forward']",Classic AI & Neural Network Architectures
W3085538743,"['Mask R-CNN', 'ResNet 101', 'Siamese networks']",Classic AI & Neural Network Architectures
